개설강좌,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목구분,과목세부구분,강의실습구분,과목개설주기,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,비고
1,대학원,전체,CR501,01,한국어 Ⅰ,장근영,공통필수,일반과목,교과,이론,매년,0.0,3.0,0.0,N,Y,"화18:00-19:30(E7 - L21), 목18:00-19:30(E7 - L21)",한국어/영어강의(English and Korean as mediums of instruction)
2,대학원,전체,CR502,01,한국어 Ⅱ,정효정,공통필수,일반과목,교과,이론,매년,0.0,3.0,0.0,N,Y,"화18:00-19:30(E7 - L22), 목18:00-19:30(E7 - L22)",한국어/영어강의(English and Korean as mediums of instruction)
3,대학원,전체,CR526,01,생물물리학 ,"유우경, 정한빈",공통선택,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,월16:00-19:00(E4 - 113),
4,대학원,전체,CR531c,01,생물학자를 위한 과학 커뮤니케이션,"곽준명, 이정아",공통선택,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,금14:00-17:00(E4 - 113),
5,대학원,전체,CR536,01,구조생물학,"이영삼, 정한빈, 김진해, 이창훈, 유우경",공통선택,일반과목,교과,이론및실습,매년,4.0,2.0,4.0,N,Y,"월13:00-16:00(E4 - 227), 수13:00-16:00(E4 - 227)",
6,화학물리학과,전체,EM625c,01,고급 양자역학 I,권상일,전공,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"월09:00-10:30(E2 - 324), 수09:00-10:30(E2 - 324)",
7,화학물리학과,전체,EM652c,01,고급유기화학 I,이성기,전공,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"화15:00-16:30(E2 - 624), 목15:00-16:30(E2 - 624)",
8,화학물리학과,전체,EM658,01,생유기화학,홍선기,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"수15:00-16:30(E2 - 525), 금15:00-16:30(E2 - 525)",
9,화학물리학과,전체,EM665,01,고급 물리화학Ⅱ,김종구,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,월13:00-16:00(E2 - 524),
10,화학물리학과,전체,EM684,01,의약화학 및 의약품 합성,서상원,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,화09:30-12:30(E2 - 624),
11,화학물리학과,전체,EM685,01,유무기분광분석,문혜원,전공,일반과목,교과,이론,매년,3.0,3.0,0.0,N,Y,월13:00-16:00(E2 - 424),
12,화학물리학과,전체,EM694,01,유기물질 및 소자특성,이성원,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화10:30-12:00(E2 - 524), 목10:30-12:00(E2 - 524)",
13,화학물리학과,전체,EM717,01,표면 및 박막과학,이신범,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,수15:00-18:00(E2 - 524),
14,화학물리학과,전체,EM720c,01,고급 고체물리학 II,서정필,전공,코어과목,교과,이론,매년,3.0,3.0,0.0,N,Y,"월10:30-12:00(E2 - 115), 화10:30-12:00(E2 - 115)",
15,화학물리학과,전체,EM730,01,스핀트로닉스,유천열,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,"화09:00-10:30(E2 - 525), 목09:00-10:30(E2 - 525)",
16,화학물리학과,전체,EM741,01,상전이와 임계현상,김아람,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,금13:00-16:00(E2 - 324),
17,화학물리학과,전체,EM761,01,초분자화학 ,박진희,전공,일반과목,교과,이론,격년,3.0,3.0,0.0,N,Y,화13:00-16:00(E2 - 524),
18,화학물리학과,석사,EM900,01,Thesis(M.S.),강준구,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
19,화학물리학과,석사,EM900,02,Thesis(M.S.),권상일,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
20,화학물리학과,석사,EM900,03,Thesis(M.S.),김성균,전공,일반과목,연구(Thesis),이론및실습,매년,0.0,0.0,0.0,N,Y,,
